Ua1,Ub1,Uc1,Ua2,Ub2,Uc2,Ua3,Ub3,Uc3,Ia1,Ib1,Ic1,Ia2,Ib2,Ic2,Ia3,Ib3,Ic3,Ia4,Ib4,Ic4,Ia5,Ib5,Ic5,fault,line,position
7.722,7.722,7.722,0,0,0,3.77,3.77,3.77,11.539,11.539,11.539,0.186,0.186,0.186,1.205,1.205,1.205,1.205,1.205,1.205,0.372,0.372,0.372,3psc,Line1,0
15.919,15.919,15.919,9.855,9.855,9.855,10.163,10.163,10.163,9.718,9.718,9.718,0.016,0.016,0.016,0.954,0.954,0.954,0.954,0.954,0.954,0.543,0.543,0.543,3psc,Line1,5
21.787,21.787,21.787,16.948,16.948,16.948,14.563,14.563,14.563,8.356,8.356,8.356,0.118,0.118,0.118,0.763,0.763,0.763,0.763,0.763,0.763,0.68,0.68,0.68,3psc,Line1,10
26.106,26.106,26.106,22.224,22.224,22.224,17.636,17.636,17.636,7.305,7.305,7.305,0.227,0.227,0.227,0.613,0.613,0.613,0.613,0.613,0.613,0.797,0.797,0.797,3psc,Line1,15
29.355,29.355,29.355,26.25,26.25,26.25,19.779,19.779,19.779,6.471,6.471,6.471,0.32,0.32,0.32,0.492,0.492,0.492,0.492,0.492,0.492,0.9,0.9,0.9,3psc,Line1,20
31.835,31.835,31.835,29.379,29.379,29.379,21.241,21.241,21.241,5.794,5.794,5.794,0.402,0.402,0.402,0.39,0.39,0.39,0.39,0.39,0.39,0.996,0.996,0.996,3psc,Line1,25
33.74,33.74,33.74,31.843,31.843,31.843,22.178,22.178,22.178,5.233,5.233,5.233,0.478,0.478,0.478,0.303,0.303,0.303,0.303,0.303,0.303,1.087,1.087,1.087,3psc,Line1,30
35.201,35.201,35.201,33.794,33.794,33.794,22.692,22.692,22.692,4.761,4.761,4.761,0.549,0.549,0.549,0.227,0.227,0.227,0.227,0.227,0.227,1.175,1.175,1.175,3psc,Line1,35
36.306,36.306,36.306,35.34,35.34,35.34,22.852,22.852,22.852,4.356,4.356,4.356,0.617,0.617,0.617,0.159,0.159,0.159,0.159,0.159,0.159,1.264,1.264,1.264,3psc,Line1,40
37.116,37.116,37.116,36.555,36.555,36.555,22.7,22.7,22.7,4.005,4.005,4.005,0.684,0.684,0.684,0.098,0.098,0.098,0.098,0.098,0.098,1.354,1.354,1.354,3psc,Line1,45
37.673,37.673,37.673,37.492,37.492,37.492,22.264,22.264,22.264,3.697,3.697,3.697,0.752,0.752,0.752,0.049,0.049,0.049,0.049,0.049,0.049,1.447,1.447,1.447,3psc,Line1,50
38.006,38.006,38.006,38.188,38.188,38.188,21.556,21.556,21.556,3.423,3.423,3.423,0.822,0.822,0.822,0.045,0.045,0.045,0.045,0.045,0.045,1.544,1.544,1.544,3psc,Line1,55
38.134,38.134,38.134,38.669,38.669,38.669,20.579,20.579,20.579,3.178,3.178,3.178,0.894,0.894,0.894,0.089,0.089,0.089,0.089,0.089,0.089,1.648,1.648,1.648,3psc,Line1,60
38.067,38.067,38.067,38.951,38.951,38.951,19.327,19.327,19.327,2.955,2.955,2.955,0.969,0.969,0.969,0.141,0.141,0.141,0.141,0.141,0.141,1.759,1.759,1.759,3psc,Line1,65
37.807,37.807,37.807,39.043,39.043,39.043,17.784,17.784,17.784,2.75,2.75,2.75,1.05,1.05,1.05,0.194,0.194,0.194,0.194,0.194,0.194,1.879,1.879,1.879,3psc,Line1,70
37.35,37.35,37.35,38.946,38.946,38.946,15.924,15.924,15.924,2.56,2.56,2.56,1.137,1.137,1.137,0.25,0.25,0.25,0.25,0.25,0.25,2.01,2.01,2.01,3psc,Line1,75
36.685,36.685,36.685,38.657,38.657,38.657,13.709,13.709,13.709,2.382,2.382,2.382,1.232,1.232,1.232,0.308,0.308,0.308,0.308,0.308,0.308,2.155,2.155,2.155,3psc,Line1,80
35.794,35.794,35.794,38.163,38.163,38.163,11.089,11.089,11.089,2.214,2.214,2.214,1.336,1.336,1.336,0.37,0.37,0.37,0.37,0.37,0.37,2.316,2.316,2.316,3psc,Line1,85
34.648,34.648,34.648,37.444,37.444,37.444,7.997,7.997,7.997,2.051,2.051,2.051,1.453,1.453,1.453,0.437,0.437,0.437,0.437,0.437,0.437,2.498,2.498,2.498,3psc,Line1,90
33.207,33.207,33.207,36.469,36.469,36.469,4.341,4.341,4.341,1.893,1.893,1.893,1.585,1.585,1.585,0.51,0.51,0.51,0.51,0.51,0.51,2.704,2.704,2.704,3psc,Line1,95
31.417,31.417,31.417,35.197,35.197,35.197,0,0,0,1.735,1.735,1.735,1.735,1.735,1.735,0.591,0.591,0.591,0.591,0.591,0.591,2.942,2.942,2.942,3psc,Line1,100
